,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,writeIns
first_choice,32.17,9.27,21.14,37.03,0.38
Harvey Curley,,23.71,15.60,33.62,0.00
Larry Edwards,14.29,,15.97,15.16,5.26
Mary Hall-Rayford,10.19,29.74,,35.89,15.79
Sarah A. Lucido,56.46,27.37,52.65,,10.53
writeIns,0.31,0.86,0.76,0.27,
exhaust,18.76,18.32,15.03,15.06,68.42
