,CARMEN CHU,DAVE FERGUSON,RON DUDUM,writeIns
first_choice,52.33,12.35,35.14,0.18
CARMEN CHU,,34.03,34.50,13.21
DAVE FERGUSON,25.00,,34.86,15.09
RON DUDUM,40.13,41.76,,15.09
writeIns,0.13,0.28,0.23,
exhaust,34.74,23.93,30.41,56.60
