,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,writeIns
first_choice,32.17,9.27,21.14,37.03,0.38
Harvey Curley,,29.02,18.35,39.58,0.00
Larry Edwards,17.58,,18.80,17.85,16.67
Mary Hall-Rayford,12.54,36.41,,42.25,50.00
Sarah A. Lucido,69.50,33.51,61.96,,33.33
writeIns,0.38,1.06,0.89,0.32,
