,Bob Sullentrop,Charlie Casserly,Devin Hogan,Jonathan Honerbrink,Latrisha Vetaw,Londel French,Meg Forney,Mike Derus,Russ Henry,Scott Vreeland,writeIns
first_choice,1.97,4.45,7.41,3.10,21.96,14.71,22.54,12.66,10.74,0.00,0.46
Bob Sullentrop,,7.92,3.41,20.92,0.85,0.93,2.31,3.69,1.64,0.00,10.00
Charlie Casserly,12.44,,2.83,8.00,1.58,1.50,6.09,9.71,2.71,66.67,4.00
Devin Hogan,6.14,7.88,,6.12,11.16,24.48,6.62,7.47,19.58,0.00,8.00
Jonathan Honerbrink,26.49,6.95,3.00,,1.63,1.74,3.33,5.85,2.41,0.00,2.00
Latrisha Vetaw,7.84,8.25,24.82,11.40,,28.38,37.73,18.11,20.91,0.00,16.00
Londel French,3.47,6.95,27.48,5.86,27.29,,9.54,7.35,29.90,0.00,4.00
Meg Forney,11.95,25.17,10.75,16.11,37.02,11.69,,37.86,12.99,33.33,28.00
Mike Derus,19.79,28.40,7.02,18.67,9.45,5.94,26.48,,9.57,0.00,14.00
Russ Henry,11.55,7.96,20.53,12.13,10.80,25.10,7.67,9.67,,0.00,14.00
Scott Vreeland,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,0.00
writeIns,0.32,0.52,0.15,0.78,0.21,0.22,0.23,0.28,0.29,0.00,
