,Allen A. Aigbogun,Cam Gordon,writeIns
first_choice,15.17,84.05,0.78
Allen A. Aigbogun,,13.76,4.76
Cam Gordon,27.70,,33.33
writeIns,3.19,1.33,
exhaust,69.12,84.91,61.90
