,Andrea Jenkins,April Kane,David Holsinger,Terry White,writeIns
first_choice,5766.00,716.00,390.00,1009.00,17.00
Andrea Jenkins,,535.00,65.00,512.00,2.00
April Kane,2153.00,,47.00,177.00,0.00
David Holsinger,93.00,26.00,,125.00,2.00
Terry White,1719.00,51.00,133.00,,1.00
writeIns,30.00,1.00,12.00,2.00,
exhaust,1771.00,103.00,133.00,193.00,12.00
