,ANTHONY B. ''TONY'' SANTOS,JOHN R. PALAU,JOYCE RUTLEDGE STAROSCIAK,LOU FILIPOVICH,SARA M. MESTAS,STEPHEN H. CASSIDY,writeIns
first_choice,7982.00,390.00,5206.00,9.00,925.00,7908.00,64.00
ANTHONY B. ''TONY'' SANTOS,,63.00,1477.00,0.00,188.00,1670.00,5.00
JOHN R. PALAU,375.00,,191.00,4.00,141.00,661.00,2.00
JOYCE RUTLEDGE STAROSCIAK,2625.00,51.00,,0.00,206.00,2855.00,2.00
LOU FILIPOVICH,0.00,0.00,0.00,,1.00,6.00,0.00
SARA M. MESTAS,783.00,108.00,591.00,0.00,,912.00,1.00
STEPHEN H. CASSIDY,1898.00,81.00,1656.00,2.00,205.00,,3.00
writeIns,46.00,2.00,29.00,0.00,5.00,62.00,
exhaust,2255.00,85.00,1262.00,3.00,179.00,1742.00,51.00
