,Chris Daly,Davy Jones,George Dias,"Manuel Jimenez, Jr.",Matt Drake,Rob Black,Robert Jordan,Viliam Dugovic
first_choice,48.75,2.17,1.28,1.77,3.78,39.66,0.70,1.90
Chris Daly,,24.91,18.97,26.23,18.11,28.28,21.79,21.66
Davy Jones,16.31,,8.72,10.66,8.30,8.98,16.67,13.36
George Dias,5.14,8.19,,25.41,11.13,5.77,1.28,11.91
"Manuel Jimenez, Jr.",10.42,13.31,23.08,,8.68,13.46,14.10,6.86
Matt Drake,9.09,13.65,18.46,8.61,,34.70,11.54,27.80
Rob Black,40.48,22.87,17.95,23.36,40.00,,24.36,13.72
Robert Jordan,3.91,4.10,7.69,3.69,4.72,2.70,,4.69
Viliam Dugovic,14.65,12.97,5.13,2.05,9.06,6.12,10.26,
