,BILL FAZIO,DAVID ONEK,GEORGE GASCÓN,SHARMIN BOCK,VU VUONG TRINH
first_choice,19252.00,43398.00,76236.00,38005.00,6596.00
BILL FAZIO,,3287.00,16384.00,5976.00,698.00
DAVID ONEK,2639.00,,9157.00,8546.00,1176.00
GEORGE GASCÓN,5756.00,5142.00,,11089.00,1328.00
SHARMIN BOCK,4061.00,26852.00,22494.00,,1708.00
VU VUONG TRINH,1120.00,1314.00,2862.00,3142.00,
exhaust,5676.00,6803.00,25339.00,9252.00,1686.00
