,Erica Mauter,Jeremy Schroeder,John Quincy,writeIns
first_choice,29.43,35.26,34.93,0.37
Erica Mauter,,46.59,28.59,2.94
Jeremy Schroeder,56.49,,37.25,5.88
John Quincy,28.75,35.42,,14.71
writeIns,0.26,0.22,0.44,
exhaust,14.50,17.77,33.72,76.47
