,AL G. MURRAY,BEN BARTLETT,DEBORAH MATTHEWS,MARK A. COPLAN
first_choice,1.87,57.04,20.82,20.27
AL G. MURRAY,,8.88,8.80,11.96
BEN BARTLETT,28.70,,57.10,52.97
DEBORAH MATTHEWS,38.89,37.60,,35.07
MARK A. COPLAN,32.41,53.52,34.10,
