,AJ Awed,AK Hassan,Abdirizak Bihi,Alex Palacios,Jamal Osman,Joshua Scheunemann,Michael P. Dougherty,Mohamoud Hassan,Nebiha Mohammed,Saciido Shaie,Sara Mae Engberg,Suud Olat,writeIns
first_choice,1722.00,1066.00,1002.00,384.00,2131.00,121.00,391.00,135.00,261.00,333.00,119.00,62.00,19.00
AJ Awed,,117.00,69.00,67.00,91.00,21.00,7.00,5.00,25.00,34.00,16.00,6.00,1.00
AK Hassan,147.00,,60.00,58.00,122.00,5.00,18.00,9.00,32.00,61.00,4.00,7.00,0.00
Abdirizak Bihi,103.00,42.00,,23.00,72.00,0.00,13.00,7.00,13.00,36.00,3.00,2.00,0.00
Alex Palacios,117.00,72.00,37.00,,57.00,8.00,86.00,3.00,24.00,41.00,12.00,6.00,0.00
Jamal Osman,84.00,111.00,74.00,36.00,,13.00,46.00,28.00,37.00,48.00,6.00,13.00,0.00
Joshua Scheunemann,43.00,10.00,6.00,19.00,16.00,,25.00,2.00,6.00,6.00,18.00,3.00,0.00
Michael P. Dougherty,14.00,19.00,11.00,26.00,31.00,16.00,,8.00,7.00,6.00,17.00,2.00,1.00
Mohamoud Hassan,14.00,23.00,17.00,10.00,32.00,4.00,20.00,,12.00,4.00,2.00,1.00,0.00
Nebiha Mohammed,64.00,44.00,16.00,33.00,46.00,4.00,16.00,23.00,,38.00,17.00,4.00,0.00
Saciido Shaie,82.00,67.00,58.00,55.00,55.00,3.00,4.00,5.00,26.00,,6.00,2.00,0.00
Sara Mae Engberg,47.00,18.00,1.00,12.00,10.00,20.00,36.00,9.00,21.00,11.00,,4.00,0.00
Suud Olat,29.00,19.00,6.00,6.00,21.00,3.00,17.00,2.00,16.00,4.00,2.00,,0.00
writeIns,10.00,1.00,1.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,
exhaust,968.00,523.00,646.00,37.00,1577.00,24.00,103.00,34.00,41.00,44.00,15.00,12.00,17.00
