,David Regan,Elizabeth Glidden,Gregory McDonald,Jeanine Estime,Michael J. Cavlan,writeIns
first_choice,5.62,74.00,3.71,15.18,1.39,0.10
David Regan,,1.57,18.26,1.70,6.98,0.00
Elizabeth Glidden,12.07,,26.96,61.70,30.23,0.00
Gregory McDonald,32.18,7.64,,8.94,2.33,0.00
Jeanine Estime,3.45,40.11,22.61,,37.21,0.00
Michael J. Cavlan,3.45,3.58,8.70,13.40,,0.00
writeIns,0.57,0.35,0.00,0.00,0.00,
exhaust,48.28,46.75,23.48,14.26,23.26,100.00
