,Barbara Gelman,Bernardo Tuma,Beverly Davidson,Dale Washam,Jan Shabro,Terry Lee,writeIns
first_choice,19.00,6.94,10.42,25.02,19.06,19.16,0.40
Barbara Gelman,,12.26,26.34,9.95,19.51,18.20,2.19
Bernardo Tuma,4.10,,7.86,7.31,8.12,9.62,1.52
Beverly Davidson,21.07,10.33,,5.67,7.71,6.86,2.28
Dale Washam,10.43,14.44,10.49,,14.85,16.27,2.85
Jan Shabro,17.27,19.46,14.01,18.02,,19.33,1.24
Terry Lee,13.66,18.58,13.62,25.18,16.10,,2.95
writeIns,0.14,0.22,0.18,0.25,0.20,0.15,
exhaust,33.33,24.72,27.51,33.61,33.51,29.57,86.96
