,Charlie Walker,Dwayne Jusino,Espanola Jackson,Marie L. Harrison,Rodney Hampton Jr.,Sala Chandler,Sophie Maxwell
first_choice,3.36,12.03,10.35,8.14,8.35,1.93,55.84
Charlie Walker,,3.63,8.63,6.00,7.34,6.49,7.12
Dwayne Jusino,9.48,,17.07,6.57,11.70,15.58,17.28
Espanola Jackson,20.49,25.99,,26.73,17.77,22.94,22.34
Marie L. Harrison,14.07,14.27,16.88,,29.47,20.35,29.91
Rodney Hampton Jr.,20.80,16.09,18.27,20.84,,15.58,18.42
Sala Chandler,7.03,6.93,6.12,6.23,5.11,,4.91
Sophie Maxwell,28.13,33.09,33.02,33.64,28.62,19.05,
