,Billy Menz,Chris Meyer,Mohamed Issa Barre,writeIns
first_choice,35.45,44.45,19.53,0.57
Billy Menz,,45.97,27.03,4.88
Chris Meyer,42.25,,30.36,3.66
Mohamed Issa Barre,19.43,19.05,,2.44
writeIns,0.34,0.39,0.57,
exhaust,37.99,34.59,42.03,89.02
