,ALFRED TWU,LORI DROSTE,MARY KAY LACEY,RUSS TILLEMAN
first_choice,10.62,56.18,30.40,2.80
ALFRED TWU,,18.71,25.73,23.50
LORI DROSTE,36.40,,46.33,33.33
MARY KAY LACEY,37.99,49.63,,28.42
RUSS TILLEMAN,11.51,6.17,11.96,
exhaust,14.10,25.48,15.98,14.75
