,Andrea Fahrenkrug,Bill Shroyer,Steffanie Musich,writeIns
first_choice,2691.00,3990.00,9466.00,91.00
Andrea Fahrenkrug,,1220.00,2774.00,2.00
Bill Shroyer,627.00,,2303.00,4.00
Steffanie Musich,1387.00,1335.00,,7.00
writeIns,10.00,25.00,55.00,
exhaust,667.00,1410.00,4334.00,78.00
