,Alan Webber,Joseph M. Maestas,Kate I. Noble,Peter N. Ives,Ronald S. Trujillo
first_choice,39.22,8.00,22.38,6.01,24.39
Alan Webber,,32.90,52.25,35.98,19.97
Joseph M. Maestas,23.92,,23.17,15.43,42.01
Kate I. Noble,45.89,33.29,,28.95,19.56
Peter N. Ives,22.49,13.30,14.93,,18.46
Ronald S. Trujillo,7.70,20.51,9.64,19.63,
