,BERNT RAINER WAHL,JACQUELYN MCCORMICK,KAHLIL ''DA MAYOR'' JACOBS-FANTAUZZI,KRISS WORTHINGTON,MARK SCHWARTZ,TOM BATES,ZACHARY RUNNINGWOLF,writeIns
first_choice,4.39,11.36,4.26,21.73,0.02,54.07,3.81,0.36
BERNT RAINER WAHL,,17.44,6.93,5.33,0.00,12.93,15.58,21.52
JACQUELYN MCCORMICK,23.89,,10.91,31.50,30.00,21.92,15.69,15.19
KAHLIL ''DA MAYOR'' JACOBS-FANTAUZZI,9.88,7.65,,18.02,10.00,6.01,30.62,6.33
KRISS WORTHINGTON,16.04,36.52,48.62,,10.00,49.18,17.05,22.78
MARK SCHWARTZ,0.00,0.02,0.05,0.00,,0.02,0.00,0.00
TOM BATES,38.52,30.39,15.73,35.23,10.00,,20.83,29.11
ZACHARY RUNNINGWOLF,11.19,7.60,17.70,9.64,40.00,9.12,,5.06
writeIns,0.48,0.38,0.05,0.28,0.00,0.82,0.24,
