,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
first_choice,53.79,25.08,21.12
LARRY E. REID,,37.04,28.40
MARCIE HODGE,39.52,,43.44
NEHANDA IMARA,18.95,36.99,
exhaust,41.53,25.97,28.16
