,AL G. MURRAY,BEN BARTLETT,DEBORAH MATTHEWS,MARK A. COPLAN
first_choice,133.00,4060.00,1482.00,1443.00
AL G. MURRAY,,254.00,96.00,133.00
BEN BARTLETT,31.00,,623.00,589.00
DEBORAH MATTHEWS,42.00,1075.00,,390.00
MARK A. COPLAN,35.00,1530.00,372.00,
exhaust,25.00,1201.00,391.00,331.00
