,AHSHA SAFAI,BERTA HERNANDEZ,FRANCISCO HERRERA,KIM ALVARENGA,MAGDALENA DE GUZMAN
first_choice,37.30,6.33,10.32,34.16,11.90
AHSHA SAFAI,,14.37,14.13,25.13,17.03
BERTA HERNANDEZ,8.63,,25.06,12.19,24.21
FRANCISCO HERRERA,13.19,27.38,,28.03,25.27
KIM ALVARENGA,30.49,18.11,20.13,,15.90
MAGDALENA DE GUZMAN,16.00,29.74,25.52,13.34,
exhaust,31.68,10.39,15.16,21.30,17.59
