,ASALE CHANDLER,GLORIA BERRY,SHAMANN WALTON,THEO ELLINGTON,TONY KELLY,UZURI PEASE-GREENE,writeIns
first_choice,3.46,4.16,41.33,20.78,24.48,5.65,0.13
ASALE CHANDLER,,22.46,2.90,3.42,3.89,7.02,3.23
GLORIA BERRY,27.18,,3.95,6.78,4.44,7.48,0.00
SHAMANN WALTON,14.09,16.46,,45.46,26.50,28.15,19.35
THEO ELLINGTON,11.47,13.66,41.72,,14.90,13.42,16.13
TONY KELLY,16.46,18.01,15.57,17.88,,28.30,25.81
UZURI PEASE-GREENE,12.72,7.66,7.23,7.68,31.84,,9.68
writeIns,0.00,0.10,0.07,0.08,0.00,0.08,
exhaust,18.08,21.64,28.56,18.69,18.44,15.56,25.81
