,Alan Webber,Joseph M. Maestas,Kate I. Noble,Peter N. Ives,Ronald S. Trujillo
first_choice,39.22,8.00,22.38,6.01,24.39
Alan Webber,,30.44,48.41,31.83,14.54
Joseph M. Maestas,21.61,,21.47,13.65,30.60
Kate I. Noble,41.46,30.81,,25.61,14.25
Peter N. Ives,20.32,12.31,13.84,,13.45
Ronald S. Trujillo,6.96,18.98,8.94,17.37,
exhaust,9.65,7.46,7.35,11.55,27.16
