,DAN DILLMAN,MORGAN MACK-ROSE,URSULA REED,writeIns
first_choice,18.96,38.00,42.20,0.84
DAN DILLMAN,,23.42,16.62,5.16
MORGAN MACK-ROSE,45.01,,56.34,10.33
URSULA REED,27.10,54.74,,4.69
writeIns,0.81,0.43,0.50,
exhaust,27.08,21.40,26.53,79.81
