,Don Samuels,Kenya McKnight,Lennie Chism,Natalie Johnson Lee,Roger Smithrud,writeIns
first_choice,47.00,15.48,2.81,30.05,4.29,0.37
Don Samuels,,20.54,9.84,15.03,17.20,12.50
Kenya McKnight,18.04,,22.95,39.11,3.23,0.00
Lennie Chism,4.90,12.20,,9.51,9.68,0.00
Natalie Johnson Lee,22.16,47.62,37.70,,24.73,25.00
Roger Smithrud,4.71,2.08,9.84,3.83,,0.00
writeIns,0.78,0.30,0.00,0.00,5.38,
exhaust,49.41,17.26,19.67,32.52,39.78,62.50
