,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,writeIns
first_choice,1610.00,464.00,1058.00,1853.00,19.00
Harvey Curley,,110.00,165.00,623.00,0.00
Larry Edwards,230.00,,169.00,281.00,1.00
Mary Hall-Rayford,164.00,138.00,,665.00,3.00
Sarah A. Lucido,909.00,127.00,557.00,,2.00
writeIns,5.00,4.00,8.00,5.00,
exhaust,302.00,85.00,159.00,279.00,13.00
