,CECILIA ''CES'' ROSALES,GEORGE BEIER,KRISS WORTHINGTON,writeIns
first_choice,632.00,1438.00,2078.00,36.00
CECILIA ''CES'' ROSALES,,607.00,800.00,9.00
GEORGE BEIER,242.00,,702.00,2.00
KRISS WORTHINGTON,312.00,609.00,,8.00
writeIns,8.00,8.00,15.00,
exhaust,70.00,214.00,561.00,17.00
