,BEN MATRANGA,JOEL ENGARDIO,JOHN FARRELL,MIKE YOUNG,NORMAN YEE
first_choice,18.42,21.67,14.03,5.68,40.20
BEN MATRANGA,,40.11,28.94,18.96,31.81
JOEL ENGARDIO,33.00,,22.51,18.73,29.01
JOHN FARRELL,32.82,23.50,,34.41,19.28
MIKE YOUNG,12.95,11.07,31.44,,19.90
NORMAN YEE,21.22,25.32,17.11,27.90,
