,ANNIE CAMPBELL WASHINGTON,JILL BROADHURST,PAUL LIM
first_choice,64.15,30.13,5.71
ANNIE CAMPBELL WASHINGTON,,74.69,39.88
JILL BROADHURST,79.91,,60.12
PAUL LIM,20.09,25.31,
