,ANNIE CAMPBELL WASHINGTON,JILL BROADHURST,PAUL LIM
first_choice,64.15,30.13,5.71
ANNIE CAMPBELL WASHINGTON,,55.15,27.10
JILL BROADHURST,51.70,,40.85
PAUL LIM,13.00,18.69,
exhaust,35.31,26.17,32.05
