,CHERYL DAVILA,DARRYL MOORE,NANCI IRA ARMSTRONG-TEMPLE
first_choice,31.03,39.75,29.22
CHERYL DAVILA,,36.38,59.25
DARRYL MOORE,25.06,,21.38
NANCI IRA ARMSTRONG-TEMPLE,55.49,27.04,
exhaust,19.46,36.59,19.37
