,ABEL GUILLEN,ANDREW PARK,DANA KING,KEN MAXEY,KEVIN BLACKBURN
first_choice,36.05,19.18,32.90,2.29,9.58
ABEL GUILLEN,,33.96,26.67,21.54,24.25
ANDREW PARK,29.59,,20.54,17.04,22.40
DANA KING,27.45,23.46,,23.47,31.41
KEN MAXEY,2.58,4.31,4.60,,6.08
KEVIN BLACKBURN,15.33,16.31,19.96,17.68,
exhaust,25.05,21.96,28.24,20.26,15.86
