,HUBER TRENADO,MIKE HASSID,MIKE HUTCHINSON,ROSIE TORRES
first_choice,4941.00,1456.00,2122.00,4786.00
HUBER TRENADO,,584.00,331.00,1561.00
MIKE HASSID,1242.00,,241.00,611.00
MIKE HUTCHINSON,498.00,153.00,,918.00
ROSIE TORRES,1472.00,364.00,983.00,
exhaust,1729.00,355.00,567.00,1696.00
