,ABEL GUILLÉN,KENZIE DONTE SMITH,NIKKI FORTUNATO BAS
first_choice,39.67,6.43,53.90
ABEL GUILLÉN,,31.31,57.02
KENZIE DONTE SMITH,22.26,,42.98
NIKKI FORTUNATO BAS,77.74,68.69,
