,BEN GOULD,BERNT RAINER WAHL,GUY ''MIKE'' LEE,JESSE ARREGUÍN,KRISS WORTHINGTON,LAURIE CAPITELLI,NAOMI D. PETE,ZACHARY RUNNINGWOLF
first_choice,2.95,2.83,1.61,49.10,8.02,32.12,0.63,2.74
BEN GOULD,,20.56,11.53,4.95,3.50,9.31,6.99,7.77
BERNT RAINER WAHL,12.79,,6.39,2.17,7.31,3.96,5.65,10.98
GUY ''MIKE'' LEE,5.91,4.72,,2.86,2.15,1.84,9.14,16.10
JESSE ARREGUÍN,24.94,12.49,19.08,,48.38,36.31,11.02,19.25
KRISS WORTHINGTON,10.78,22.12,9.33,38.67,,11.45,12.37,11.66
LAURIE CAPITELLI,23.68,12.13,11.64,25.52,17.30,,16.94,10.24
NAOMI D. PETE,2.18,4.18,4.72,0.70,1.71,0.94,,4.32
ZACHARY RUNNINGWOLF,8.20,8.73,19.60,4.92,5.12,2.91,10.48,
exhaust,11.53,15.06,17.71,20.20,14.54,33.28,27.42,19.68
