,Bernie Sanders,Elizabeth Warren,Joseph R. Biden,Tulsi Gabbard,Uncommitted
first_choice,26555.00,11518.00,102829.00,1604.00,4367.00
Bernie Sanders,,5096.00,26180.00,352.00,312.00
Elizabeth Warren,13340.00,,36698.00,416.00,290.00
Joseph R. Biden,8349.00,5308.00,,336.00,645.00
Tulsi Gabbard,1708.00,686.00,2975.00,,336.00
Uncommitted,846.00,175.00,3255.00,269.00,
exhaust,2312.00,253.00,33721.00,231.00,2784.00
