,BEVERLY WILLIAMS,LARRY E. REID,SHERYL WALTON,writeIns
first_choice,1499.00,8725.00,4734.00,107.00
BEVERLY WILLIAMS,,1617.00,1686.00,8.00
LARRY E. REID,350.00,,1494.00,8.00
SHERYL WALTON,681.00,3366.00,,8.00
writeIns,13.00,80.00,39.00,
exhaust,455.00,3662.00,1515.00,83.00
