,Jan Shabro,Julie Anderson,Will Baker,writeIns
first_choice,63338.00,76634.00,12978.00,578.00
Jan Shabro,,37893.00,2873.00,35.00
Julie Anderson,34590.00,,6334.00,65.00
Will Baker,7246.00,15059.00,,32.00
writeIns,409.00,405.00,102.00,
exhaust,21093.00,23277.00,3669.00,446.00
