,"Fulford, Jonathan S.","Golden, Jared F.","Olson, Craig R.","St. Clair, Lucas R."
first_choice,5.51,46.42,8.83,39.24
"Fulford, Jonathan S.",,8.57,11.47,7.33
"Golden, Jared F.",34.27,,31.81,44.55
"Olson, Craig R.",21.25,19.93,,21.57
"St. Clair, Lucas R.",18.76,44.14,32.71,
exhaust,25.71,27.37,24.02,26.55
