,BRYAN PARKER,CHARLES R. WILLIAMS,COURTNEY RUBY,DAN SIEGEL,ERIC WILSON,JASON ANDERSON,JEAN QUAN,JOE TUMAN,KEN HOUSTON,LIBBY SCHAAF,NANCY SIDEBOTHAM,PAT MCCULLOUGH,PETER LIU,REBECCA KAPLAN,SAIED KARAMOOZ,SAMMUEL WASHINGTON
first_choice,7955.00,1052.00,3115.00,13122.00,393.00,1550.00,15808.00,12251.00,518.00,30041.00,267.00,362.00,464.00,14693.00,264.00,33.00
BRYAN PARKER,,49.00,227.00,802.00,12.00,30.00,1054.00,1496.00,51.00,2647.00,18.00,35.00,35.00,1003.00,8.00,3.00
CHARLES R. WILLIAMS,190.00,,44.00,165.00,41.00,29.00,250.00,74.00,17.00,96.00,10.00,29.00,18.00,276.00,3.00,1.00
COURTNEY RUBY,320.00,41.00,,409.00,14.00,26.00,499.00,1261.00,13.00,2281.00,31.00,20.00,40.00,668.00,16.00,0.00
DAN SIEGEL,851.00,179.00,238.00,,61.00,288.00,1881.00,1023.00,38.00,3213.00,16.00,26.00,42.00,2524.00,62.00,3.00
ERIC WILSON,88.00,55.00,26.00,220.00,,25.00,143.00,50.00,24.00,76.00,14.00,12.00,15.00,167.00,6.00,0.00
JASON ANDERSON,70.00,72.00,31.00,554.00,14.00,,112.00,67.00,15.00,126.00,3.00,23.00,3.00,229.00,25.00,1.00
JEAN QUAN,627.00,86.00,161.00,1717.00,28.00,45.00,,510.00,34.00,3680.00,19.00,20.00,66.00,1729.00,16.00,3.00
JOE TUMAN,1270.00,41.00,734.00,1145.00,22.00,33.00,992.00,,37.00,8291.00,14.00,25.00,35.00,1177.00,16.00,0.00
KEN HOUSTON,110.00,21.00,13.00,77.00,13.00,18.00,95.00,79.00,,93.00,13.00,13.00,13.00,127.00,5.00,0.00
LIBBY SCHAAF,1663.00,36.00,910.00,2588.00,14.00,72.00,3055.00,4767.00,32.00,,22.00,22.00,31.00,3912.00,27.00,0.00
NANCY SIDEBOTHAM,28.00,11.00,52.00,59.00,13.00,4.00,73.00,56.00,11.00,79.00,,17.00,8.00,126.00,4.00,0.00
PAT MCCULLOUGH,80.00,34.00,33.00,91.00,9.00,26.00,98.00,78.00,11.00,81.00,10.00,,20.00,95.00,10.00,1.00
PETER LIU,50.00,20.00,30.00,66.00,18.00,8.00,468.00,111.00,5.00,113.00,8.00,15.00,,113.00,14.00,1.00
REBECCA KAPLAN,1181.00,139.00,285.00,3429.00,63.00,137.00,3120.00,1175.00,112.00,6024.00,40.00,42.00,28.00,,21.00,4.00
SAIED KARAMOOZ,30.00,16.00,27.00,205.00,5.00,736.00,51.00,51.00,7.00,96.00,4.00,7.00,21.00,57.00,,1.00
SAMMUEL WASHINGTON,2.00,0.00,0.00,4.00,0.00,0.00,3.00,3.00,0.00,6.00,0.00,1.00,1.00,3.00,0.00,
exhaust,1395.00,252.00,304.00,1591.00,66.00,73.00,3914.00,1450.00,111.00,3139.00,45.00,55.00,88.00,2487.00,31.00,15.00
