,DESLEY BROOKS,JAMES MOORE,MICHAEL V. JOHNSON,SHEREDA F. NOSAKHARE,VICENTE CRUZ
first_choice,4772.00,1011.00,1943.00,3354.00,82.00
DESLEY BROOKS,,165.00,289.00,652.00,21.00
JAMES MOORE,701.00,,462.00,923.00,2.00
MICHAEL V. JOHNSON,807.00,298.00,,909.00,1.00
SHEREDA F. NOSAKHARE,1304.00,313.00,800.00,,37.00
VICENTE CRUZ,5.00,0.00,0.00,11.00,
exhaust,1955.00,235.00,392.00,859.00,21.00
