,BRAD BOURN,JOSH NEIMAN,writeIns
first_choice,8903.00,4775.00,61.00
BRAD BOURN,,2397.00,14.00
JOSH NEIMAN,3879.00,,9.00
writeIns,62.00,36.00,
exhaust,4962.00,2342.00,38.00
