,Bruce Lundeen,David Schorn,Lisa Bender,Saralyn Romanishan,writeIns
first_choice,5.52,9.33,64.32,20.56,0.26
Bruce Lundeen,,10.61,2.79,3.49,0.00
David Schorn,43.69,,34.01,44.95,28.57
Lisa Bender,27.93,32.52,,50.37,28.57
Saralyn Romanishan,22.97,56.00,61.42,,42.86
writeIns,5.41,0.87,1.77,1.19,
