,Bob Kiss,Hinda Miller,Kevin Curley,Louie the Cowman Beaudin,Loyal Ploof,writeIns
first_choice,38.95,31.77,26.68,1.22,0.58,0.80
Bob Kiss,,65.93,36.68,32.18,34.62,41.43
Hinda Miller,62.94,,39.08,20.69,30.77,17.14
Kevin Curley,21.11,25.66,,34.48,17.31,27.14
Louie the Cowman Beaudin,5.87,4.24,15.54,,17.31,10.00
Loyal Ploof,7.51,3.43,5.60,10.34,,4.29
writeIns,2.56,0.74,3.10,2.30,0.00,
