,Dan Alvin,Kim Vlaisavljevich,Matthew Dowgwillo,Meg Tuthill,writeIns
first_choice,8.62,10.18,8.77,72.24,0.18
Dan Alvin,,26.84,20.21,7.94,16.67
Kim Vlaisavljevich,26.48,,11.64,13.51,0.00
Matthew Dowgwillo,19.51,9.44,,27.44,0.00
Meg Tuthill,34.84,21.53,47.26,,0.00
writeIns,0.35,1.18,0.00,0.25,
exhaust,18.82,41.00,20.89,50.85,83.33
