,JODY LONDON,THEARSE PECOT,writeIns
first_choice,19840.00,6290.00,184.00
JODY LONDON,,2818.00,20.00
THEARSE PECOT,8548.00,,20.00
writeIns,222.00,140.00,
exhaust,11070.00,3332.00,144.00
