,CHRIS CUNNIE,DAVID WONG,PAUL MIYAMOTO,ROSS MIRKARIMI
first_choice,28.16,6.20,27.19,38.45
CHRIS CUNNIE,,19.73,48.28,45.96
DAVID WONG,8.59,,18.05,9.84
PAUL MIYAMOTO,53.85,55.56,,44.21
ROSS MIRKARIMI,37.56,24.71,33.68,
