,"DAVID L. ANDERSON, SR.",DEBORAH COX,KENNETH PON,MIKE KATZ-LACABE
first_choice,13.26,42.42,21.79,22.53
"DAVID L. ANDERSON, SR.",,21.95,17.46,16.12
DEBORAH COX,43.82,,55.43,50.43
KENNETH PON,31.01,38.19,,33.45
MIKE KATZ-LACABE,25.17,39.85,27.11,
