,BRIAN V. HULET,CARY KENNETH STOCKWELL,DOUG WELTON,LINDA CARTER,SCOTT PINKHAM
first_choice,615.00,210.00,1037.00,674.00,139.00
BRIAN V. HULET,,30.00,485.00,234.00,37.00
CARY KENNETH STOCKWELL,46.00,,133.00,106.00,30.00
DOUG WELTON,286.00,78.00,,267.00,41.00
LINDA CARTER,179.00,47.00,283.00,,21.00
SCOTT PINKHAM,52.00,50.00,83.00,38.00,
exhaust,52.00,5.00,53.00,29.00,10.00
