,Al Rose,Carolyn Merrival,Joyce McDonald,writeIns
first_choice,30.79,19.13,49.92,0.16
Al Rose,,61.82,24.62,12.31
Carolyn Merrival,56.30,,19.34,12.31
Joyce McDonald,17.20,14.44,,7.69
writeIns,0.09,0.09,1.03,
exhaust,26.41,23.64,55.01,67.69
