,DEAN CLARK,DEBRA WALKER,ELAINE ZAMORA,FORTUNATE ''NATE'' PAYNE,GEORGE DAVIS,GEORGE VAZHAPPALLY,GLENDON ''ANNA CONDA'' HYDE,H. BROWN,JAMES KEYS,JANE KIM,JIM MEKO,MATT ASHE,MATT DRAKE,THERESA SPARKS,writeIns
first_choice,602.00,5669.00,637.00,150.00,158.00,242.00,692.00,182.00,960.00,6621.00,407.00,185.00,947.00,3605.00,29.00
DEAN CLARK,,156.00,26.00,10.00,11.00,15.00,19.00,28.00,30.00,203.00,7.00,6.00,75.00,71.00,0.00
DEBRA WALKER,123.00,,82.00,19.00,26.00,11.00,190.00,16.00,209.00,1472.00,68.00,24.00,56.00,578.00,1.00
ELAINE ZAMORA,18.00,181.00,,3.00,9.00,15.00,20.00,13.00,24.00,381.00,13.00,8.00,69.00,153.00,0.00
FORTUNATE ''NATE'' PAYNE,14.00,32.00,7.00,,4.00,57.00,27.00,3.00,9.00,40.00,13.00,2.00,45.00,37.00,0.00
GEORGE DAVIS,7.00,46.00,17.00,2.00,,5.00,18.00,5.00,12.00,51.00,11.00,13.00,19.00,32.00,0.00
GEORGE VAZHAPPALLY,28.00,23.00,9.00,19.00,8.00,,5.00,6.00,9.00,56.00,17.00,3.00,43.00,34.00,0.00
GLENDON ''ANNA CONDA'' HYDE,13.00,286.00,23.00,16.00,13.00,4.00,,6.00,43.00,458.00,16.00,15.00,17.00,166.00,1.00
H. BROWN,39.00,65.00,12.00,4.00,11.00,6.00,17.00,,10.00,145.00,3.00,4.00,5.00,47.00,0.00
JAMES KEYS,48.00,306.00,36.00,6.00,8.00,4.00,44.00,12.00,,297.00,38.00,4.00,13.00,132.00,0.00
JANE KIM,86.00,2087.00,107.00,12.00,11.00,20.00,126.00,22.00,242.00,,69.00,27.00,154.00,770.00,2.00
JIM MEKO,9.00,164.00,19.00,13.00,4.00,23.00,22.00,10.00,39.00,156.00,,10.00,91.00,144.00,0.00
MATT ASHE,7.00,42.00,8.00,2.00,3.00,3.00,11.00,5.00,3.00,52.00,10.00,,20.00,34.00,1.00
MATT DRAKE,34.00,51.00,48.00,8.00,7.00,25.00,12.00,7.00,13.00,250.00,25.00,23.00,,313.00,0.00
THERESA SPARKS,42.00,751.00,79.00,6.00,9.00,13.00,74.00,11.00,104.00,1011.00,38.00,17.00,139.00,,0.00
writeIns,1.00,14.00,1.00,1.00,0.00,0.00,2.00,1.00,1.00,8.00,1.00,1.00,1.00,4.00,
exhaust,133.00,1465.00,163.00,29.00,34.00,41.00,105.00,37.00,212.00,2041.00,78.00,28.00,200.00,1090.00,24.00
