,James Boris Perez,Lucrecia Bermudez,Miguel Bustos,Renee Saucedo,Steve Zeltzer,Tom Ammiano,writeIns
first_choice,583.00,1027.00,4346.00,5497.00,806.00,12592.00,17.00
James Boris Perez,,46.00,327.00,115.00,188.00,295.00,0.00
Lucrecia Bermudez,43.00,,437.00,837.00,41.00,853.00,0.00
Miguel Bustos,165.00,247.00,,1179.00,118.00,2474.00,3.00
Renee Saucedo,85.00,382.00,1209.00,,149.00,6123.00,2.00
Steve Zeltzer,73.00,43.00,242.00,166.00,,552.00,0.00
Tom Ammiano,93.00,190.00,1281.00,2564.00,156.00,,5.00
writeIns,0.00,0.00,0.00,0.00,0.00,0.00,
exhaust,124.00,119.00,850.00,636.00,154.00,2295.00,7.00
