,Bob Sullentrop,Charlie Casserly,Devin Hogan,Jonathan Honerbrink,Latrisha Vetaw,Londel French,Meg Forney,Mike Derus,Russ Henry,Scott Vreeland,writeIns
first_choice,1659.00,3756.00,6246.00,2617.00,18526.00,12405.00,19010.00,10679.00,9056.00,3.00,390.00
Bob Sullentrop,,213.00,178.00,400.00,130.00,95.00,314.00,286.00,126.00,0.00,5.00
Charlie Casserly,154.00,,148.00,153.00,240.00,153.00,826.00,752.00,208.00,2.00,2.00
Devin Hogan,76.00,212.00,,117.00,1698.00,2492.00,898.00,578.00,1504.00,0.00,4.00
Jonathan Honerbrink,328.00,187.00,157.00,,248.00,177.00,452.00,453.00,185.00,0.00,1.00
Latrisha Vetaw,97.00,222.00,1297.00,218.00,,2889.00,5119.00,1402.00,1606.00,0.00,8.00
Londel French,43.00,187.00,1436.00,112.00,4152.00,,1294.00,569.00,2297.00,0.00,2.00
Meg Forney,148.00,677.00,562.00,308.00,5632.00,1190.00,,2931.00,998.00,1.00,14.00
Mike Derus,245.00,764.00,367.00,357.00,1437.00,605.00,3592.00,,735.00,0.00,7.00
Russ Henry,143.00,214.00,1073.00,232.00,1643.00,2555.00,1040.00,749.00,,0.00,7.00
Scott Vreeland,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,,0.00
writeIns,4.00,14.00,8.00,15.00,32.00,22.00,31.00,22.00,22.00,0.00,
exhaust,421.00,1066.00,1020.00,705.00,3313.00,2227.00,5444.00,2937.00,1375.00,0.00,340.00
