,IGOR A. TREGUB,MARGO SCHUELER,MARY BEHM-STEINBERG,RASHI KESARWANI
first_choice,35.71,15.45,4.38,44.46
IGOR A. TREGUB,,35.77,27.54,44.29
MARGO SCHUELER,29.53,,37.97,32.09
MARY BEHM-STEINBERG,16.33,11.02,,5.69
RASHI KESARWANI,37.96,38.57,13.04,
exhaust,16.19,14.64,21.45,17.94
