,Jeffrey Alan Wagner,Lisa Goodman,Michael J. Katch,writeIns
first_choice,321.00,2997.00,1042.00,32.00
Jeffrey Alan Wagner,,254.00,516.00,4.00
Lisa Goodman,39.00,,104.00,6.00
Michael J. Katch,191.00,383.00,,3.00
writeIns,2.00,9.00,8.00,
exhaust,89.00,2351.00,414.00,19.00
