,CARMEN CHU,DAVE FERGUSON,RON DUDUM,writeIns
first_choice,15405.00,3635.00,10346.00,53.00
CARMEN CHU,,1237.00,3569.00,7.00
DAVE FERGUSON,3852.00,,3607.00,8.00
RON DUDUM,6182.00,1518.00,,8.00
writeIns,20.00,10.00,24.00,
exhaust,5351.00,870.00,3146.00,30.00
