,BRUCE QUAN,FRANCIS ''MATT'' HUMMEL,NANCY SIDEBOTHAM,PEGGY MOORE,REBECCA KAPLAN
first_choice,17.09,7.24,3.62,19.95,52.10
BRUCE QUAN,,19.13,22.45,26.08,28.60
FRANCIS ''MATT'' HUMMEL,11.82,,18.33,6.13,6.33
NANCY SIDEBOTHAM,8.55,13.90,,8.52,5.42
PEGGY MOORE,29.94,13.87,17.43,,29.14
REBECCA KAPLAN,32.70,39.05,20.57,39.92,
exhaust,16.98,14.05,21.21,19.35,30.52
