,ANDREW ''ELLARD'' RESIGNATO,CHRISTINA OLAGUE,DANIEL EVERETT,HOPE JOHNSON,JOHN RIZZO,JULIAN DAVIS,LONDON BREED,THEA SELBY
first_choice,782.00,6955.00,1315.00,490.00,5683.00,5342.00,9842.00,4738.00
ANDREW ''ELLARD'' RESIGNATO,,166.00,68.00,49.00,141.00,187.00,408.00,242.00
CHRISTINA OLAGUE,66.00,,183.00,53.00,825.00,1209.00,1700.00,562.00
DANIEL EVERETT,61.00,268.00,,57.00,274.00,271.00,429.00,245.00
HOPE JOHNSON,61.00,171.00,63.00,,88.00,161.00,283.00,240.00
JOHN RIZZO,101.00,1371.00,194.00,54.00,,1173.00,1301.00,1091.00
JULIAN DAVIS,108.00,1328.00,192.00,59.00,888.00,,1542.00,599.00
LONDON BREED,169.00,1448.00,236.00,59.00,649.00,961.00,,1024.00
THEA SELBY,128.00,904.00,158.00,103.00,2244.00,659.00,1651.00,
exhaust,88.00,1299.00,221.00,56.00,574.00,721.00,2528.00,735.00
