,BEVAN DUFTY,CESAR ASCARRUNZ,DAVID CHIU,DENNIS HERRERA,ED LEE,EMIL LAWRENCE,JEFF ADACHI,JOANNA REES,JOHN AVALOS,LELAND YEE,MICHELA ALIOTO-PIER,PAUL CURRIER,PHIL TING,TERRY JOAN BAUM,TONY HALL,WILMA PANG,writeIns
first_choice,9208.00,537.00,17921.00,21914.00,59775.00,382.00,12534.00,3104.00,37445.00,14609.00,6648.00,248.00,1016.00,1665.00,6930.00,444.00,38.00
BEVAN DUFTY,,18.00,1057.00,3033.00,3317.00,10.00,610.00,162.00,1961.00,493.00,448.00,11.00,54.00,56.00,202.00,12.00,1.00
CESAR ASCARRUNZ,48.00,,26.00,184.00,243.00,27.00,87.00,36.00,288.00,59.00,84.00,13.00,8.00,12.00,82.00,4.00,1.00
DAVID CHIU,862.00,13.00,,2674.00,15797.00,17.00,1537.00,265.00,3023.00,2001.00,383.00,8.00,151.00,41.00,254.00,46.00,0.00
DENNIS HERRERA,2474.00,56.00,2961.00,,4649.00,14.00,1810.00,343.00,15644.00,1734.00,756.00,21.00,111.00,70.00,532.00,18.00,2.00
ED LEE,1247.00,38.00,4479.00,2124.00,,26.00,1553.00,363.00,1612.00,2675.00,947.00,17.00,190.00,46.00,1338.00,75.00,4.00
EMIL LAWRENCE,12.00,23.00,23.00,48.00,134.00,,73.00,51.00,49.00,33.00,71.00,12.00,5.00,21.00,98.00,10.00,3.00
JEFF ADACHI,463.00,32.00,1760.00,1854.00,4064.00,29.00,,244.00,2956.00,972.00,476.00,23.00,97.00,98.00,1006.00,35.00,0.00
JOANNA REES,217.00,23.00,421.00,636.00,1098.00,30.00,481.00,,407.00,274.00,493.00,7.00,32.00,46.00,512.00,35.00,0.00
JOHN AVALOS,1333.00,73.00,2036.00,4560.00,2233.00,8.00,1469.00,176.00,,2013.00,390.00,25.00,75.00,1006.00,142.00,16.00,2.00
LELAND YEE,496.00,30.00,1495.00,1699.00,6444.00,13.00,896.00,180.00,3165.00,,519.00,9.00,81.00,42.00,258.00,29.00,3.00
MICHELA ALIOTO-PIER,619.00,60.00,648.00,1236.00,3657.00,30.00,812.00,427.00,823.00,940.00,,11.00,42.00,42.00,760.00,21.00,1.00
PAUL CURRIER,24.00,11.00,30.00,49.00,105.00,15.00,50.00,19.00,75.00,22.00,28.00,,6.00,17.00,44.00,14.00,1.00
PHIL TING,92.00,11.00,588.00,252.00,2224.00,8.00,262.00,43.00,189.00,267.00,55.00,6.00,,13.00,85.00,18.00,0.00
TERRY JOAN BAUM,96.00,12.00,53.00,116.00,164.00,18.00,98.00,45.00,3604.00,75.00,92.00,11.00,11.00,,39.00,32.00,0.00
TONY HALL,141.00,42.00,235.00,477.00,1527.00,37.00,876.00,239.00,171.00,263.00,372.00,23.00,29.00,20.00,,21.00,5.00
WILMA PANG,24.00,9.00,98.00,47.00,1102.00,11.00,104.00,47.00,88.00,151.00,40.00,11.00,17.00,46.00,22.00,,0.00
writeIns,0.00,0.00,0.00,0.00,4.00,1.00,2.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,
exhaust,1060.00,86.00,2011.00,2925.00,13013.00,88.00,1814.00,464.00,3389.00,2636.00,1494.00,40.00,107.00,89.00,1555.00,58.00,15.00
