,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
first_choice,8464.00,3947.00,3324.00
LARRY E. REID,,1462.00,944.00
MARCIE HODGE,3345.00,,1444.00
NEHANDA IMARA,1604.00,1460.00,
exhaust,3515.00,1025.00,936.00
