,James Boris Perez,Lucrecia Bermudez,Miguel Bustos,Renee Saucedo,Steve Zeltzer,Tom Ammiano,writeIns
first_choice,2.34,4.13,17.48,22.10,3.24,50.64,0.07
James Boris Perez,,5.07,9.35,2.37,28.83,2.86,0.00
Lucrecia Bermudez,9.37,,12.50,17.22,6.29,8.28,0.00
Miguel Bustos,35.95,27.20,,24.25,18.10,24.03,30.00
Renee Saucedo,18.52,42.07,34.58,,22.85,59.46,20.00
Steve Zeltzer,15.90,4.74,6.92,3.41,,5.36,0.00
Tom Ammiano,20.26,20.93,36.64,52.75,23.93,,50.00
writeIns,0.00,0.00,0.00,0.00,0.00,0.00,
