,Mike Wendorf,Scott Vreeland,writeIns
first_choice,26.16,72.42,1.41
Mike Wendorf,,21.31,11.94
Scott Vreeland,37.77,,29.85
writeIns,1.61,0.96,
exhaust,60.61,77.73,58.21
